name,color,rarity,number_seen,alsa,number_picked,ata,number_gp,percent_gp,gp_wr,number_oh,oh_wr,number_gd,gd_wr,number_gih,gih_wr,number_gns,gns_wr,iwd,color_group,rarity_full
Shoot the Sheriff,B,U,73311,3.07,23174,3.61,126811,0.9129999999999999,0.546,22185,0.5479999999999999,32973,0.594,55158,0.575,71215,0.522,5.4,Mono-color,Uncommon
Skulduggery,B,C,350389,6.36,52709,9.03,160075,0.516,0.522,26333,0.513,40185,0.542,66518,0.531,93273,0.515,1.6,Mono-color,Common
Tinybones Joins Up,B,R,53810,5.2,5873,8.18,4653,0.135,0.479,775,0.462,1178,0.49700000000000005,1953,0.483,2688,0.475,0.8,Mono-color,Rare
"Tinybones, the Pickpocket",B,M,9825,2,3803,2.13,19499,0.875,0.535,3389,0.5710000000000001,4981,0.552,8370,0.56,11084,0.516,4.4,Mono-color,Mythic Rare
Treasure Dredger,B,U,113778,4.66,20780,6.41,96895,0.7929999999999999,0.524,17522,0.537,24213,0.527,41735,0.531,55051,0.519,1.2,Mono-color,Uncommon
Unfortunate Accident,B,U,75637,3.12,24182,3.66,131838,0.907,0.545,21964,0.536,34558,0.59,56522,0.569,74866,0.525,4.4,Mono-color,Uncommon
Unscrupulous Contractor,B,U,106060,4.33,20080,5.89,93311,0.787,0.531,15952,0.517,23509,0.5579999999999999,39461,0.541,53683,0.524,1.7,Mono-color,Uncommon
"Vadmir, New Blood",B,R,17258,1.8,9641,1.84,53753,0.9329999999999999,0.545,9657,0.599,13943,0.5660000000000001,23600,0.579,30135,0.517,6.2,Mono-color,Rare
Vault Plunderer,B,C,263643,4.3,63725,5.57,346712,0.9009999999999999,0.552,61585,0.563,89025,0.58,150610,0.573,195586,0.535,3.8,Mono-color,Common
Brimstone Roundup,R,U,136221,6.39,15471,9.37,26168,0.293,0.48200000000000004,4456,0.46399999999999997,6816,0.488,11272,0.479,14861,0.483,-0.5,Mono-color,Uncommon
"Calamity, Galloping Inferno",R,R,15262,1.64,8614,1.63,46075,0.904,0.534,7529,0.5329999999999999,10945,0.564,18474,0.551,27128,0.52,3.2,Mono-color,Rare
Caught in the Crossfire,R,U,141966,6.63,14837,9.95,18538,0.214,0.496,2944,0.465,4485,0.499,7429,0.485,11080,0.503,-1.8,Mono-color,Uncommon
Cunning Coyote,R,U,105051,4.32,18646,5.71,88402,0.7979999999999999,0.5379999999999999,15708,0.5529999999999999,20162,0.537,35870,0.544,52484,0.5329999999999999,1.1,Mono-color,Uncommon
Deadeye Duelist,R,C,325946,5.79,40978,8.3,158103,0.6629999999999999,0.512,27959,0.504,37340,0.515,65299,0.511,92626,0.512,-0.1,Mono-color,Common
Demonic Ruckus,R,U,130005,5.64,16332,8.11,50369,0.527,0.527,8531,0.534,11488,0.523,20019,0.528,30328,0.526,0.2,Mono-color,Uncommon
Discerning Peddler,R,C,350005,6.45,43830,9.22,160549,0.616,0.535,28540,0.542,36959,0.529,65499,0.535,94970,0.534,0.1,Mono-color,Common
Explosive Derailment,R,C,260730,4.28,47085,5.77,238217,0.8540000000000001,0.535,40091,0.524,57562,0.5579999999999999,97653,0.544,140159,0.528,1.6,Mono-color,Common
Ferocification,R,U,137895,6.51,13941,9.88,20791,0.254,0.512,3348,0.48700000000000004,4680,0.51,8028,0.501,12760,0.519,-1.8,Mono-color,Uncommon
Gila Courser,R,U,106504,4.39,19000,5.84,87913,0.779,0.535,15401,0.5329999999999999,20124,0.532,35525,0.532,52116,0.536,-0.4,Mono-color,Uncommon
Great Train Heist,R,R,29332,2.95,6903,3.41,30551,0.758,0.523,4668,0.515,7053,0.552,11721,0.537,18780,0.514,2.4,Mono-color,Rare
Hell to Pay,R,R,30048,2.92,6532,3.49,31534,0.8320000000000001,0.513,5334,0.489,7546,0.5329999999999999,12880,0.515,18582,0.512,0.3,Mono-color,Rare
Hellspur Brute,R,U,106273,4.47,16648,6.02,76339,0.775,0.529,12359,0.534,18047,0.544,30406,0.54,45990,0.522,1.8,Mono-color,Uncommon
Hellspur Posse Boss,R,R,17942,1.91,8912,1.92,48308,0.8859999999999999,0.5579999999999999,8233,0.606,11549,0.616,19782,0.612,28381,0.52,9.2,Mono-color,Rare
Highway Robbery,R,C,371604,7.38,45939,10.58,96376,0.35600000000000004,0.522,16824,0.499,23639,0.534,40463,0.519,55806,0.524,-0.4,Mono-color,Common
Irascible Wolverine,R,C,338276,6.02,46088,8.55,165775,0.609,0.527,28501,0.51,39487,0.53,67988,0.521,97691,0.531,-1,Mono-color,Common
Iron-Fist Pulverizer,R,C,368777,7.29,39579,10.77,68810,0.295,0.512,10722,0.494,17509,0.532,28231,0.518,40641,0.508,1,Mono-color,Common
Longhorn Sharpshooter,R,U,74546,3.06,20343,3.72,109403,0.8959999999999999,0.544,18713,0.556,26431,0.573,45144,0.5660000000000001,64101,0.528,3.8,Mono-color,Uncommon
"Magda, the Hoardmaster",R,R,17415,1.8,8217,1.84,43900,0.909,0.527,7926,0.5660000000000001,10757,0.54,18683,0.551,25170,0.51,4.1,Mono-color,Rare
Magebane Lizard,R,U,150633,7.48,14682,11.35,8023,0.09300000000000001,0.494,1378,0.455,1808,0.46799999999999997,3186,0.462,4837,0.514,-5.2,Mono-color,Uncommon
Mine Raider,R,C,346794,6.34,40297,9.26,128139,0.541,0.517,21833,0.508,29854,0.517,51687,0.514,76368,0.519,-0.6,Mono-color,Common
Outlaws' Fury,R,C,382144,8.24,41983,11.82,38944,0.157,0.523,5955,0.502,8650,0.53,14605,0.519,24323,0.526,-0.7,Mono-color,Common
Prickly Pair,R,C,297569,5.02,49573,6.8,236591,0.8009999999999999,0.5379999999999999,41200,0.544,54694,0.541,95894,0.542,140531,0.536,0.6,Mono-color,Common
Quick Draw,R,C,382205,8.29,39461,12.06,24060,0.10300000000000001,0.508,3701,0.485,5457,0.501,9158,0.495,14877,0.515,-2.1,Mono-color,Common
Quilled Charger,R,C,365573,7,41594,10.27,95807,0.391,0.523,15653,0.508,21441,0.514,37094,0.511,58395,0.53,-1.8,Mono-color,Common
Reckless Lackey,R,C,352391,6.72,37153,9.86,98937,0.455,0.521,17431,0.541,22439,0.506,39870,0.521,59008,0.521,0.1,Mono-color,Common
Resilient Roadrunner,R,U,121706,5.13,17774,7.13,71860,0.6829999999999999,0.5329999999999999,12630,0.539,16430,0.529,29060,0.5329999999999999,42796,0.532,0.1,Mono-color,Uncommon
Return the Favor,R,U,146266,7.03,15950,10.42,17703,0.19,0.496,2705,0.46399999999999997,4206,0.5,6911,0.486,10761,0.502,-1.6,Mono-color,Uncommon
Rodeo Pyromancers,R,C,368966,7.61,34825,11.48,32759,0.161,0.48,5163,0.479,8180,0.479,13343,0.479,19432,0.48100000000000004,-0.2,Mono-color,Common
Scalestorm Summoner,R,U,91651,3.81,17919,4.91,85602,0.797,0.544,14849,0.574,19318,0.537,34167,0.5529999999999999,51474,0.5379999999999999,1.5,Mono-color,Uncommon
Scorching Shot,R,U,91829,3.79,17431,4.93,87452,0.845,0.535,14485,0.528,20831,0.555,35316,0.544,52028,0.529,1.5,Mono-color,Uncommon
Slickshot Show-Off,R,R,24650,2.53,6188,2.75,28188,0.789,0.512,5030,0.523,6856,0.516,11886,0.519,16273,0.508,1.1,Mono-color,Rare
Stingerback Terror,R,R,15980,1.67,9046,1.67,50877,0.9309999999999999,0.55,8871,0.575,12482,0.598,21353,0.589,29393,0.521,6.8,Mono-color,Rare
Take for a Ride,R,U,143619,6.61,18081,9.57,31777,0.301,0.512,4941,0.491,7414,0.525,12355,0.512,19372,0.512,0,Mono-color,Uncommon
Terror of the Peaks,R,M,5974,1.27,4546,1.25,25138,0.927,0.5429999999999999,4192,0.58,6191,0.608,10383,0.597,14607,0.503,9.4,Mono-color,Mythic Rare
Thunder Salvo,R,C,302605,5.15,43732,7.24,187361,0.7290000000000001,0.525,31982,0.521,45230,0.5379999999999999,77212,0.531,109825,0.521,1,Mono-color,Common
Trick Shot,R,C,369436,7.28,40555,10.72,64903,0.271,0.515,9862,0.49200000000000005,15565,0.536,25427,0.519,39399,0.512,0.6,Mono-color,Common
Aloe Alchemist,G,U,71857,2.94,24489,3.51,139522,0.934,0.561,24690,0.5760000000000001,32079,0.574,56769,0.575,82494,0.551,2.3,Mono-color,Uncommon
Ankle Biter,G,C,339925,5.97,47369,8.79,175803,0.617,0.542,30629,0.5479999999999999,40520,0.53,71149,0.5379999999999999,104164,0.545,-0.6,Mono-color,Common
Beastbond Outcaster,G,U,73821,3.06,25241,3.61,143474,0.9279999999999999,0.5670000000000001,25154,0.591,33415,0.579,58569,0.584,84659,0.555,2.9,Mono-color,Uncommon
Betrayal at the Vault,G,U,113677,4.67,23076,6.22,107952,0.775,0.5529999999999999,16058,0.5379999999999999,25667,0.579,41725,0.563,66022,0.546,1.7,Mono-color,Uncommon
Bristlepack Sentry,G,C,328849,5.6,59955,7.79,276091,0.759,0.5529999999999999,48758,0.5589999999999999,62011,0.5429999999999999,110769,0.55,164893,0.555,-0.5,Mono-color,Common
"Bristly Bill, Spine Sower",G,M,6057,1.28,5089,1.28,29948,0.9390000000000001,0.58,5453,0.6679999999999999,7243,0.611,12696,0.635,17175,0.5379999999999999,9.7,Mono-color,Mythic Rare
Cactarantula,G,C,230573,3.86,58606,4.94,321718,0.903,0.555,51536,0.5529999999999999,77275,0.574,128811,0.5660000000000001,192095,0.5479999999999999,1.7,Mono-color,Common
Colossal Rattlewurm,G,R,14028,1.47,10343,1.48,59891,0.943,0.5670000000000001,10339,0.604,14308,0.611,24647,0.608,34985,0.5379999999999999,7,Mono-color,Rare
