title,pokemon_name,set_name,card_number,rarity_class,language,category,condition_std,is_graded,grading_company,numeric_grade,is_holo,is_full_art,is_v_card,is_ex_card,is_gx_card,is_promo,is_shadowless,is_1st_edition,is_rainbow,is_gold,price,currency,price_usd,price_tier_usd,seller_country,seller_listing_count,ships_worldwide,image_count,days_since_sold,sale_month,sale_year
Zapdos ex 049 | Black Star Promo | Pokemon Card | NM,Zapdos,Unknown,,Unknown,English,Single Cards,Near Mint,0,,,0,0,0,1,0,1,0,0,0,0,2.99,GBP,4.07,Common,United Kingdom,2,1,2,2.0,5.0,2026.0
Pokemon Card Ditto No. 132 Holo Fossil Japanese Rare  holo,Unknown,FOSSIL,,Rare,Japanese,Single Cards,Near Mint,0,,,1,0,0,0,0,0,0,0,0,0,10.0,GBP,13.6,Uncommon,United Kingdom,4,0,2,2.0,5.0,2026.0
Japanese - Wonder Labyrinth - 145/150 PR - Holo - Pokemon Card - SM8b-,Unknown,SM8B,145/150,Unknown,Japanese,Single Cards,Near Mint,0,,,1,0,0,0,0,0,0,0,0,0,1.0,EUR,1.17,Budget,Germany,114,1,2,2.0,5.0,2026.0
Golurk Holo AR 129/086 SV11B Black Bolt Japanese Pokemon Card-,Unknown,SV11B,129/086,AR,Japanese,Single Cards,Near Mint,0,,,1,0,0,0,0,0,0,0,0,0,3.0,EUR,3.52,Common,Germany,114,1,2,2.0,5.0,2026.0
Arcanine Pokemon Trading Card 23/102 Base Set 1999 Excellent Condition Uncommon,Arcanine,BASE SET,23/102,Uncommon,English,Single Cards,Excellent,0,,,0,0,0,0,0,0,0,0,0,0,3.0,GBP,4.08,Common,United Kingdom,1,0,2,2.0,5.0,2026.0
Magikarp SM9 027/095 Japanese Pokemon Card-,Unknown,SM9,027/095,Unknown,Japanese,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,1.0,EUR,1.17,Budget,Germany,114,1,2,2.0,5.0,2026.0
Evee Evolutions Jolteon Japanese Pokemon Trading Card 017/080 2017 1st Edition-,Jolteon,Unknown,017/080,Unknown,Japanese,Single Cards,Very Good,0,,,0,0,0,0,0,0,0,1,0,0,1.0,EUR,1.17,Budget,Germany,114,1,2,2.0,5.0,2026.0
Pokemon TCG Magneton Holo Card Japanese Base Set No. 082-,Unknown,BASE SET,,Unknown,Japanese,Single Cards,Very Good,0,,,1,0,0,0,0,0,0,0,0,0,3.03,EUR,3.55,Common,Germany,114,1,2,2.0,5.0,2026.0
Houndoum Lv.45 Dp5 Japanese Pokemon Card-,Unknown,DP5,,Unknown,Japanese,Single Cards,Excellent,0,,,0,0,0,0,0,0,0,0,0,0,1.0,EUR,1.17,Budget,Germany,114,1,2,2.0,5.0,2026.0
Emboar Holo 008/037 HS 2010 Vintage Rare Nintendo Pokemon Card Japanese-,Unknown,Unknown,008/037,Rare,Japanese,Single Cards,Excellent,0,,,1,0,0,0,0,0,0,0,0,0,1.0,EUR,1.17,Budget,Germany,114,1,2,2.0,5.0,2026.0
ACE 10 Coalossal V SR 080/076 S3a Legendary Heartbeat 2020 Pokemon Card Japanese,Unknown,S3A,080/076,SR,Japanese,Single Cards,ACE 10,1,ACE,10.0,0,0,1,0,0,0,0,0,0,0,13.93,GBP,18.95,Uncommon,United Kingdom,4,0,2,2.0,5.0,2026.0
Emboar Holo 008/037 HS 2010 Vintage Rare Nintendo Pokemon Card Japanese-,Unknown,Unknown,008/037,Rare,Japanese,Single Cards,Excellent,0,,,1,0,0,0,0,0,0,0,0,0,1.0,EUR,1.17,Budget,Germany,114,1,2,2.0,5.0,2026.0
Pokemon Card Slakoth AR 117/106 SV8 Super Electric Breaker Japanese Near Mint-,Unknown,SV8,117/106,AR,Japanese,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,2.9,EUR,3.4,Common,Germany,114,1,2,2.0,5.0,2026.0
Forina's Nuzleaf 002/019 Movie Commemoration VS Pack Japanese Good Pokemon Card-,Unknown,Unknown,002/019,Unknown,Japanese,Single Cards,Very Good,0,,,0,0,0,0,0,0,0,0,0,0,1.0,EUR,1.17,Budget,Germany,114,1,2,2.0,5.0,2026.0
Japanese - 1st Edition - Beedrill - 001/090 - Pokemon Card - Pt4-,Unknown,Unknown,001/090,Unknown,Japanese,Single Cards,Excellent,0,,,0,0,0,0,0,0,0,1,0,0,1.5,EUR,1.76,Budget,Germany,114,1,2,2.0,5.0,2026.0
JAPANESE POKEMON CARD E-SERIES SKYRIDGE E5 - Miracle Sphere beta 079/088 1ST NM-,Unknown,Unknown,079/088,Unknown,Japanese,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,3.4,EUR,3.99,Common,Germany,114,1,2,2.0,5.0,2026.0
Pokemon Card Marshadow & Machamp GX SM12a 067/173 RR 2019 Japanese-,Machamp,SM12A,067/173,RR,Japanese,Single Cards,Excellent,0,,,0,0,0,0,1,0,0,0,0,0,8.9,EUR,10.44,Uncommon,Germany,114,1,2,2.0,5.0,2026.0
Registreel 100/PCG-P promo Japanese Pokemon card B19-,Unknown,Unknown,,Unknown,Japanese,Single Cards,Excellent,0,,,0,0,0,0,0,1,0,0,0,0,2.0,EUR,2.35,Common,Germany,114,1,2,2.0,5.0,2026.0
Darkrai 068/150 Holo - Ultra Shiny GX sm8b - Japanese Pokemon Card - Near Mint,Darkrai,SM8B,068/150,Unknown,Japanese,Single Cards,Near Mint,0,,,1,0,0,0,1,0,0,0,0,0,3.0,GBP,4.08,Common,United Kingdom,1,0,2,2.0,5.0,2026.0
Houndoum [G] Lv.45 019/096 Pt1 Japanese Pokemon Card-,Unknown,Unknown,019/096,Unknown,Japanese,Single Cards,Excellent,0,,,0,0,0,0,0,0,0,0,0,0,1.0,EUR,1.17,Budget,Germany,114,1,2,2.0,5.0,2026.0
Radiant Steelix 050/071 S10a Dark Phantasma Holo Pokemon Card | Japanese | NM,Unknown,S10A,050/071,Unknown,Japanese,Single Cards,Near Mint,0,,,1,0,0,0,0,0,0,0,0,0,2.0,GBP,2.72,Common,United Kingdom,3,0,2,2.0,5.0,2026.0
Pokemon 1 Edi Ponyta 🇯🇵 NM EC1 007 Base Expansion Set Pokemon Ponita Og Card-,Unknown,Unknown,,Unknown,English,Single Cards,Excellent,0,,,0,0,0,0,0,0,0,0,0,0,3.5,EUR,4.1,Common,Germany,114,1,2,2.0,5.0,2026.0
Pokemon Card - Astral Radiance - TG16/TG30 Galarian Articuno V - Trainer Gallery,Articuno,ASTRAL RADIANCE,,Unknown,English,Single Cards,Near Mint,0,,,0,0,1,0,0,0,0,0,0,0,9.25,GBP,12.58,Uncommon,United Kingdom,2,0,2,3.0,5.0,2026.0
Pokemon Rainbow Energy Card 95/109 EX Ruby & Sapphire combined postage NM LP EX,Unknown,Unknown,95/109,Unknown,English,Single Cards,Near Mint,0,,,0,0,0,1,0,0,0,0,1,0,1.01,GBP,1.37,Budget,United Kingdom,3,0,2,3.0,5.0,2026.0
Rockruff - TG07/TG30 - Pokemon Silver Tempest Trainer Gallery Holo Card NM,Unknown,SILVER TEMPEST,,Unknown,English,Single Cards,Near Mint,0,,,1,0,0,0,0,0,0,0,0,0,1.79,GBP,2.43,Common,United Kingdom,4,0,2,3.0,5.0,2026.0
Palafin 225/091 - Pokemon TCG Paldean Fates Illustration Rare Card NM,Palafin,PALDEAN FATES,225/091,IR,English,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,1.0,GBP,1.36,Budget,United Kingdom,4,0,2,3.0,5.0,2026.0
Pokemon Card Reshiram 113/114 Celebrations 25th Anniversary Full Art NM,Unknown,Unknown,113/114,Unknown,English,Single Cards,Near Mint,0,,,0,1,0,0,0,0,0,0,0,0,12.49,GBP,16.99,Uncommon,United Kingdom,2,0,2,2.0,5.0,2026.0
Zamazenta V 098/159 Crown Zenith Ultra Rare Holo Pokemon TCG Card NM,Zamazenta,CROWN ZENITH,098/159,UR,English,Single Cards,Near Mint,0,,,1,0,1,0,0,0,0,0,0,0,2.78,GBP,3.78,Common,United Kingdom,4,0,2,3.0,5.0,2026.0
Mega Dragonite ex 246/193 SAR  Japanese Pokemon Card Mega Dream,Dragonite,Unknown,246/193,SAR,Japanese,Single Cards,Near Mint,0,,,0,0,0,1,0,0,0,0,0,0,172.4,GBP,234.52,Ultra Rare,United Kingdom,1,0,2,3.0,5.0,2026.0
Serperior ex 156/086 Pokemon Ultra Rare SV: Black Bolt Card NM,Unknown,Unknown,156/086,UR,English,Single Cards,Near Mint,0,,,0,0,0,1,0,0,0,0,0,0,1.79,GBP,2.43,Common,United Kingdom,4,0,2,3.0,5.0,2026.0
Dudunsparce EX 178/159 | Full Art Journey Together | Pokemon Card | NM 2,Unknown,Unknown,178/159,Unknown,English,Single Cards,Near Mint,0,,,0,1,0,1,0,0,0,0,0,0,1.99,GBP,2.71,Common,United Kingdom,6,1,2,3.0,5.0,2026.0
Shellos 013/054 XY11 | Pokemon Card Japanese XY11 - 1st Edition | NM,Unknown,XY11,013/054,Unknown,Japanese,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,1,0,0,3.89,GBP,5.29,Common,United Kingdom,2,1,2,3.0,5.0,2026.0
Pokemon TCG Piplup 098/094 Illustration Rare Full Art Holo Card Mint,Piplup,Unknown,098/094,IR,English,Single Cards,Near Mint,0,,,1,1,0,0,0,0,0,0,0,0,14.43,GBP,19.63,Uncommon,United Kingdom,1,1,2,3.0,5.0,2026.0
Pokemon Reverse Foil Card : Crustle  8/108 (Dark Explorers),Unknown,Unknown,8/108,Unknown,English,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,1.0,GBP,1.36,Budget,United Kingdom,7,1,4,3.0,5.0,2026.0
Pokemon Reverse Foil Card : Scrafty  68/108 (Dark Explorers),Unknown,Unknown,68/108,Unknown,English,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,1.0,GBP,1.36,Budget,United Kingdom,7,1,4,3.0,5.0,2026.0
Gordie TG24/TG30 | Silver Tempest Full Art Trainer Holo Pokemon Card | NM,Unknown,SILVER TEMPEST,,Unknown,English,Single Cards,Near Mint,0,,,1,1,0,0,0,0,0,0,0,0,2.99,GBP,4.07,Common,United Kingdom,6,1,2,3.0,5.0,2026.0
Radiant Alakazam 059/195 | Silver Tempest | Pokemon Card | NM 2,Alakazam,SILVER TEMPEST,059/195,Unknown,English,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,2.89,GBP,3.93,Common,United Kingdom,6,1,2,3.0,5.0,2026.0
Pokemon Pop Card : Plusle   13/17 (Pop Series 1),Unknown,Unknown,13/17,Unknown,English,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,5.0,GBP,6.8,Common,United Kingdom,7,1,4,3.0,5.0,2026.0
Pokemon Reverse Foil Card : Corphish  62/110  ( Ex Holon Phantoms),Unknown,Unknown,62/110,Unknown,English,Single Cards,Near Mint,0,,,0,0,0,1,0,0,0,0,0,0,9.0,GBP,12.24,Uncommon,United Kingdom,7,1,4,3.0,5.0,2026.0
Pokemon Pop Card : Minum   12/17 (Pop Series 1),Unknown,Unknown,12/17,Unknown,English,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,6.5,GBP,8.84,Common,United Kingdom,7,1,4,3.0,5.0,2026.0
Pokemon Reverse Foil Card : Serviper  32/110  ( Ex Holon Phantoms),Unknown,Unknown,32/110,Unknown,English,Single Cards,Near Mint,0,,,0,0,0,1,0,0,0,0,0,0,9.0,GBP,12.24,Uncommon,United Kingdom,7,1,4,3.0,5.0,2026.0
Pokemon Pop Card : Larvitar   11/17 (Pop Series 1),Unknown,Unknown,11/17,Unknown,English,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,6.0,GBP,8.16,Common,United Kingdom,7,1,4,3.0,5.0,2026.0
Pokemon Card Lucario V 078/189 Astral Radiance Half Art Holo Rare Near Mint,Lucario,ASTRAL RADIANCE,078/189,Rare Holo,English,Single Cards,Near Mint,0,,,1,0,1,0,0,0,0,0,0,0,1.5,GBP,2.04,Common,United Kingdom,1,1,2,3.0,5.0,2026.0
Korean Pokemon Card - Darkrai VSTAR SAR 228/172 - s12a VSTAR Universe,Darkrai,S12A,228/172,SAR,Korean,Single Cards,Near Mint,0,,,0,0,1,0,0,0,0,0,0,0,20.5,GBP,27.89,Uncommon,United Kingdom,1,0,4,3.0,5.0,2026.0
Pokemon Card Brock's Grit 107/108 XY Evolutions Full Art Trainer Played,Unknown,XY,107/108,Unknown,English,Single Cards,Near Mint,0,,,0,1,0,0,0,0,0,0,0,0,13.0,GBP,17.68,Uncommon,United Kingdom,3,0,2,3.0,5.0,2026.0
MEGA Dragonite ex SAR 246/193 MEGA Dream ex M2a Pokemon Card Japanese 2025,Dragonite,Unknown,246/193,SAR,Japanese,Single Cards,Near Mint,0,,,0,0,0,1,0,0,0,0,0,0,216.0,GBP,293.82,Ultra Rare,United Kingdom,1,0,5,3.0,5.0,2026.0
Zapdos 15/62 Holo Rare Unlimted Fossil Set 1999 - Pokemon Card TCG (NM),Zapdos,FOSSIL,15/62,Rare Holo,English,Single Cards,Near Mint,0,,,1,0,0,0,0,0,0,0,0,0,17.73,GBP,24.12,Uncommon,United Kingdom,4,0,2,3.0,5.0,2026.0
Pokemon Card Raichu Holo Base Set 14/102 WOTC 1999 Vintage Rare LP,Raichu,BASE SET,14/102,Rare,English,Single Cards,Near Mint,0,,,1,0,0,0,0,0,0,0,0,0,14.64,GBP,19.91,Uncommon,United Kingdom,4,0,2,3.0,5.0,2026.0
Vintage Pokemon Unused Booklets / Card List / Rule Book,Unknown,Unknown,,Unknown,English,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,1.98,GBP,2.69,Common,United Kingdom,2,0,5,3.0,5.0,2026.0
Pokemon TGC Tangela Art Rare 178/165 Japanese 151 Holo Rare Card Pack Fresh-,Unknown,Unknown,178/165,AR,Japanese,Single Cards,Near Mint,0,,,1,0,0,0,0,0,0,0,0,0,4.0,EUR,4.69,Common,Germany,114,1,2,3.0,5.0,2026.0
Articuno 015/078 Xy6 | Emerald Break 1st Edition | Japanese Pokemon Card | NM,Articuno,XY6,015/078,Unknown,Japanese,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,1,0,0,4.99,GBP,6.79,Common,United Kingdom,2,1,2,2.0,5.0,2026.0
Pokemon Quappo Poliwrath Holo Card 13/102 Original German,Unknown,Unknown,13/102,Unknown,German,Single Cards,Near Mint,0,,,1,0,0,0,0,0,0,0,0,0,5.0,GBP,6.8,Common,United Kingdom,1,0,7,2.0,5.0,2026.0
Pokemon Blaine's Charmeleon Uncommon Card Gym Challenge 31/132 LP,Unknown,Unknown,31/132,Uncommon,English,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,4.81,GBP,6.54,Common,United Kingdom,2,0,2,2.0,5.0,2026.0
Pokemon Card - Alakazam EX 050 - Scarlet & Violet Promo,Alakazam,Unknown,,Unknown,English,Single Cards,Near Mint,0,,,0,0,0,1,0,1,0,0,0,0,3.0,GBP,4.08,Common,United Kingdom,2,0,2,2.0,5.0,2026.0
Palkia DPBP#523 Unlimited Shining Darkness DP3 Japanese Pokemon Card 2007 LP-,Palkia,DP3,,Unknown,Japanese,Single Cards,Excellent,0,,,0,0,0,0,0,0,0,0,0,0,4.4,EUR,5.16,Common,Germany,114,1,2,3.0,5.0,2026.0
Meowth e-Starter Deck 029/128 Non Holo Old Back Japanese Pokemon Card-,Meowth,Unknown,029/128,Unknown,Japanese,Single Cards,Very Good,0,,,1,0,0,0,0,0,0,0,0,0,3.4,EUR,3.99,Common,Germany,114,1,2,3.0,5.0,2026.0
POKEMON JAPANESE CARD CARTE 004/128 E-SERIES 1ST 1ED EDITION MADE IN JAPAN LP-,Unknown,Unknown,004/128,Unknown,Japanese,Single Cards,Excellent,0,,,0,0,0,0,0,0,0,0,0,0,3.4,EUR,3.99,Common,Germany,114,1,2,3.0,5.0,2026.0
Mightyena CHR 072/067 s9a Japanese Battle Region Pokemon Card-,Unknown,S9A,072/067,Unknown,Japanese,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,3.5,EUR,4.1,Common,Germany,114,1,2,3.0,5.0,2026.0
Venomoth Pokemon Holo Card 13/64,Unknown,Unknown,13/64,Unknown,English,Single Cards,Near Mint,0,,,1,0,0,0,0,0,0,0,0,0,5.51,GBP,7.5,Common,United Kingdom,4,0,2,3.0,5.0,2026.0
JAPANESE POKEMON CARD E-SERIES EXPEDITION E1 - Corsola 015/128 - 1ST LP+-,Unknown,Unknown,015/128,Unknown,Japanese,Single Cards,Excellent,0,,,0,0,0,0,0,0,0,0,0,0,1.0,EUR,1.17,Budget,Germany,114,1,2,3.0,5.0,2026.0
Pokemon Card Fletchinder AR 073/071 Clay Burst JAP Japanese Near Mint NM-,Unknown,Unknown,073/071,AR,Japanese,Single Cards,Excellent,0,,,0,0,0,0,0,0,0,0,0,0,3.0,EUR,3.52,Common,Germany,114,1,2,3.0,5.0,2026.0
Zekrom 114/114 SWSH Celebrations 25th Pokemon Card ACE 10 Gem Mint,Unknown,SWSH,114/114,Unknown,English,Single Cards,ACE 10,1,ACE,10.0,0,0,0,0,0,0,0,0,0,0,65.0,GBP,88.42,Rare,United Kingdom,2,0,2,3.0,5.0,2026.0
Vanillish AR 070/066 Future Flash SV4M Pokemon Card Game Japanese NM-,Unknown,SV4M,070/066,AR,Japanese,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,3.0,EUR,3.52,Common,Germany,114,1,2,3.0,5.0,2026.0
Cufant 073/064 Sv6a: Night Wanderer Holo illustration Rare Pokemon Card TCG,Unknown,SV6A,073/064,IR,English,Single Cards,Near Mint,0,,,1,0,0,0,0,0,0,0,0,0,2.44,GBP,3.32,Common,United Kingdom,8,0,2,3.0,5.0,2026.0
Japanese - Promo - May's Combusken - 002/019 - Pokemon Card - VS Movie Pack-,Unknown,Unknown,002/019,Unknown,Japanese,Single Cards,Excellent,0,,,0,0,0,0,0,1,0,0,0,0,3.5,EUR,4.1,Common,Germany,114,1,2,3.0,5.0,2026.0
Pokemon Swinub AR 106/100 SV9 Battle Partners - Card Japanese,Unknown,SV9,106/100,AR,Japanese,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,0.99,GBP,1.35,Budget,United Kingdom,8,0,2,3.0,5.0,2026.0
Whirlipede - 39/98 - Uncommon - Emerging Powers - 2011 - Pokemon Card - LP,Unknown,Unknown,39/98,Uncommon,English,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,0.79,GBP,1.07,Budget,United Kingdom,2,0,2,3.0,5.0,2026.0
Lucario GL Pt2 053/070 Japanese Holo Pokemon Card-,Lucario,Unknown,053/070,Unknown,Japanese,Single Cards,Excellent,0,,,1,0,0,0,0,0,0,0,0,0,5.5,EUR,6.45,Common,Germany,114,1,2,3.0,5.0,2026.0
Ceruledge 109/106 SV8 Super Electric Breaker AR Pokemon Card Japanese NM,Ceruledge,SV8,109/106,AR,Japanese,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,3.64,GBP,4.95,Common,United Kingdom,8,0,2,3.0,5.0,2026.0
Pokemon Card Deoxys AR 185/172 S12a VSTAR Universe Japanese NM-,Deoxys,S12A,185/172,AR,Japanese,Single Cards,Near Mint,0,,,0,0,1,0,0,0,0,0,0,0,7.0,EUR,8.21,Common,Germany,114,1,2,3.0,5.0,2026.0
Pokemon Card Ancient Mew Movie Promo WOTC,Mew,Unknown,,Unknown,English,Single Cards,Near Mint,0,,,0,0,0,0,0,1,0,0,0,0,50.0,GBP,68.02,Rare,United Kingdom,88,0,8,3.0,5.0,2026.0
Pokemon Card Flygon EX 94/108 Holo Power Keeper,Unknown,Unknown,94/108,Unknown,English,Single Cards,Near Mint,0,,,1,0,0,1,0,0,0,0,0,0,4.99,GBP,6.79,Common,United Kingdom,2,0,2,3.0,5.0,2026.0
110 Pokemon Card koga's Weezing Old Back LV31 HP70 Nintendo Japan,Unknown,Unknown,,Unknown,English,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,0.99,GBP,1.35,Budget,United Kingdom,33,0,6,3.0,5.0,2026.0
Pokemon Card Neo Genesis No. #66/111 Marill English WOTC TCG Vintage NM/LP Rare,Unknown,Unknown,66/111,Rare,English,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,0.99,GBP,1.35,Budget,United Kingdom,10,0,2,3.0,5.0,2026.0
Pokemon Neo Genesis Sudowoodo Card #77/111 WOTC LP Condition Vintage Rare,Unknown,Unknown,77/111,Rare,English,Single Cards,Lightly Played,0,,,0,0,0,0,0,0,0,0,0,0,0.99,GBP,1.35,Budget,United Kingdom,10,0,2,3.0,5.0,2026.0
Pokemon TCG Neo Genesis Wooper #82/111 Common Card in LP Condition WOTC Vintage,Unknown,Unknown,82/111,Common,English,Single Cards,Lightly Played,0,,,0,0,0,0,0,0,0,0,0,0,0.99,GBP,1.35,Budget,United Kingdom,10,0,2,3.0,5.0,2026.0
Lightning Energy - #109/111 - Neo Genesis - Common - Pokemon Card - LP Condition,Unknown,Unknown,109/111,Common,English,Single Cards,Lightly Played,0,,,0,0,0,0,0,0,0,0,0,0,0.99,GBP,1.35,Budget,United Kingdom,10,0,2,3.0,5.0,2026.0
Pokemon Card Japanese Gastly 2008 Vintage 030/092 Nintendo  NM,Unknown,Unknown,030/092,Unknown,Japanese,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,0.99,GBP,1.35,Budget,United Kingdom,33,0,5,3.0,5.0,2026.0
Pelipper Pokemon Card Japanese Game Nintendo Rare 029/082 F/S NM,Unknown,Unknown,029/082,Rare,Japanese,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,0.99,GBP,1.35,Budget,United Kingdom,33,0,5,3.0,5.0,2026.0
NEO GENESIS SET GRASS ENERGY POKEMON CARD #108/111 NEAR MINT CONDITION 2002 TCG,Unknown,Unknown,108/111,Unknown,English,Single Cards,Near Mint,0,,,0,0,0,0,0,0,0,0,0,0,0.99,GBP,1.35,Budget,United Kingdom,10,0,2,3.0,5.0,2026.0
Dragonite 149/165 Rare Holo S&V 151 Pokemon TCG Card - NM,Dragonite,Unknown,149/165,Rare Holo,English,Single Cards,Near Mint,0,,,1,0,1,0,0,0,0,0,0,0,2.89,GBP,3.93,Common,United Kingdom,6,1,2,3.0,5.0,2026.0
